iter	Passed	Remaining
0	255	127574
1	550	137037
2	832	137868
3	1114	138199
4	1392	137892
5	1670	137506
6	1829	128837
7	2100	129154
8	2382	130002
9	2644	129597
10	2921	129867
11	3193	129850
12	3480	130382
13	3775	131058
14	4079	131893
15	4246	128442
16	4556	129459
17	4706	126024
18	4996	126485
19	5279	126707
20	5550	126598
21	5809	126230
22	6080	126104
23	6320	125349
24	6587	125171
25	6860	125074
26	7128	124888
27	7388	124551
28	7580	123122
29	7856	123084
30	8140	123151
31	8401	122866
32	8585	121494
33	8848	121277
34	9112	121069
35	9381	120921
36	9494	118814
37	9779	118894
38	10042	118704
39	10309	118556
40	10579	118441
41	10836	118171
42	11119	118177
43	11399	118140
44	11669	117995
45	11942	117863
46	12220	117781
47	12496	117673
48	12788	117707
49	12923	116315
50	13196	116176
51	13385	115318
52	13707	115607
53	13988	115532
54	14266	115428
55	14532	115218
56	14802	115047
57	14934	113812
58	15206	113663
59	15488	113585
60	15755	113390
61	15895	112293
62	16159	112090
63	16426	111905
64	16692	111708
65	16937	111374
66	17142	110789
67	17398	110529
68	17506	109349
69	17774	109183
70	18053	109086
71	18201	108199
72	18492	108165
73	18773	108076
74	19055	107983
75	19320	107789
76	19593	107637
77	19717	106677
78	19975	106453
79	20241	106267
80	20507	106082
81	20777	105917
82	20900	105006
83	21180	104892
84	21460	104777
85	21728	104601
86	22018	104526
87	22272	104276
88	22540	104093
89	22797	103854
90	23058	103634
91	23206	102913
92	23496	102830
93	23788	102745
94	24060	102575
95	24319	102345
96	24597	102192
97	24886	102085
98	25005	101283
99	25288	101154
100	25577	101045
101	25868	100936
102	26173	100880
103	26473	100803
104	26750	100634
105	27033	100483
106	27295	100253
107	27564	100047
108	27687	99318
109	27951	99101
110	28233	98945
111	28495	98715
112	28668	98183
113	28948	98017
114	29220	97824
115	29481	97594
116	29761	97423
117	30025	97199
118	30312	97052
119	30588	96862
120	30745	96301
121	31036	96162
122	31317	95988
123	31599	95816
124	31891	95673
125	32160	95460
126	32443	95286
127	32723	95102
128	32992	94883
129	33266	94680
130	33388	94048
131	33650	93812
132	33919	93597
133	34164	93315
134	34438	93112
135	34705	92888
136	34810	92235
137	35087	92042
138	35377	91878
139	35654	91683
140	35927	91475
141	36206	91281
142	36501	91125
143	36786	90944
144	37062	90739
145	37332	90519
146	37606	90307
147	37866	90060
148	38142	89852
149	38428	89666
150	38702	89450
151	38980	89245
152	39248	89015
153	39519	88790
154	39811	88612
155	40077	88376
156	40352	88159
157	40619	87922
158	40905	87728
159	41166	87478
160	41424	87223
161	41688	86979
162	41980	86793
163	42259	86580
164	42540	86370
165	42815	86147
166	43089	85920
167	43361	85690
168	43626	85445
169	43903	85223
170	44164	84971
171	44418	84705
172	44701	84493
173	44998	84308
174	45264	84061
175	45527	83812
176	45790	83560
177	46059	83321
178	46328	83080
179	46617	82874
180	46904	82665
181	47186	82447
182	47454	82201
183	47730	81972
184	48016	81757
185	48299	81537
186	48581	81314
187	48852	81074
188	49132	80847
189	49395	80593
190	49671	80358
191	49929	80094
192	50190	79836
193	50462	79594
194	50746	79372
195	51018	79130
196	51291	78889
197	51568	78654
198	51846	78420
199	52118	78178
200	52380	77918
201	52647	77667
202	52902	77399
203	53173	77153
204	53442	76905
205	53720	76668
206	54007	76445
207	54271	76188
208	54551	75955
209	54828	75715
210	55101	75470
211	55373	75224
212	55669	75010
213	55940	74761
214	56210	74511
215	56504	74292
216	56785	74056
217	57066	73820
218	57346	73580
219	57611	73323
220	57898	73094
221	58168	72841
222	58451	72605
223	58743	72379
224	59015	72129
225	59305	71900
226	59590	71665
227	59871	71426
228	60159	71192
229	60426	70935
230	60713	70701
231	60994	70459
232	61268	70208
233	61537	69953
234	61817	69708
235	62105	69474
236	62369	69212
237	62639	68956
238	62912	68703
239	63173	68438
240	63454	68193
241	63714	67926
242	63994	67681
243	64270	67431
244	64535	67169
245	64824	66932
246	65089	66670
247	65365	66419
248	65627	66154
249	65902	65902
250	66164	65637
251	66445	65390
252	66712	65130
253	67015	64905
254	67283	64644
255	67546	64380
256	67828	64133
257	68101	63877
258	68357	63606
259	68622	63343
260	68900	63093
261	69164	62828
262	69439	62574
263	69709	62315
264	69967	62046
265	70250	61799
266	70518	61538
267	70785	61277
268	71080	61039
269	71355	60784
270	71639	60536
271	71912	60279
272	72186	60023
273	72480	59783
274	72771	59540
275	73050	59287
276	73319	59026
277	73598	58772
278	73871	58514
279	74154	58264
280	74426	58005
281	74728	57768
282	74996	57506
283	75279	57254
284	75549	56993
285	75820	56732
286	76124	56496
287	76392	56233
288	76662	55971
289	76934	55711
290	77204	55449
291	77488	55197
292	77757	54934
293	78015	54663
294	78288	54404
295	78586	54161
296	78861	53902
297	79126	53636
298	79424	53392
299	79712	53141
300	79988	52882
301	80279	52633
302	80554	52373
303	80824	52110
304	81102	51852
305	81356	51578
306	81630	51318
307	81907	51059
308	82185	50800
309	82478	50551
310	82748	50287
311	83022	50026
312	83303	49769
313	83581	49510
314	83859	49250
315	84137	48991
316	84429	48740
317	84705	48479
318	84965	48209
319	85243	47949
320	85510	47683
321	85781	47419
322	86075	47168
323	86350	46906
324	86629	46646
325	86890	46377
326	87143	46103
327	87427	45846
328	87691	45578
329	87949	45307
330	88226	45046
331	88520	44793
332	88807	44537
333	89091	44279
334	89388	44026
335	89661	43763
336	89936	43500
337	90218	43240
338	90496	42979
339	90775	42717
340	91058	42458
341	91337	42197
342	91618	41936
343	91899	41675
344	92155	41403
345	92405	41128
346	92673	40861
347	92947	40597
348	93223	40334
349	93485	40065
350	93747	39795
351	94026	39533
352	94292	39266
353	94569	39003
354	94849	38741
355	95134	38481
356	95405	38215
357	95675	37949
358	95976	37695
359	96268	37437
360	96558	37179
361	96840	36917
362	97128	36657
363	97413	36396
364	97677	36127
365	97954	35863
366	98248	35604
367	98531	35342
368	98808	35078
369	99082	34812
370	99363	34549
371	99646	34287
372	99920	34021
373	100190	33754
374	100476	33492
375	100754	33227
376	101032	32962
377	101297	32694
378	101553	32422
379	101850	32163
380	102119	31895
381	102397	31630
382	102671	31364
383	102964	31103
384	103252	30841
385	103528	30575
386	103797	30307
387	104081	30044
388	104339	29772
389	104609	29505
390	104875	29236
391	105161	28973
392	105437	28706
393	105693	28435
394	105952	28164
395	106225	27897
396	106496	27629
397	106768	27362
398	107054	27099
399	107349	26837
400	107625	26570
401	107895	26302
402	108155	26032
403	108414	25761
404	108683	25493
405	108958	25226
406	109226	24958
407	109500	24691
408	109778	24425
409	110042	24155
410	110303	23885
411	110593	23621
412	110885	23358
413	111144	23087
414	111405	22817
415	111683	22551
416	111964	22285
417	112259	22022
418	112534	21754
419	112812	21488
420	113094	21221
421	113377	20956
422	113654	20688
423	113937	20422
424	114214	20155
425	114483	19886
426	114767	19620
427	115040	19352
428	115312	19084
429	115580	18815
430	115846	18546
431	116123	18278
432	116384	18008
433	116665	17741
434	116947	17474
435	117228	17207
436	117509	16940
437	117789	16673
438	118063	16405
439	118353	16139
440	118620	15869
441	118898	15602
442	119187	15335
443	119467	15067
444	119737	14799
445	120015	14531
446	120288	14262
447	120582	13996
448	120880	13730
449	121169	13463
450	121450	13195
451	121734	12927
452	122010	12658
453	122270	12388
454	122551	12120
455	122830	11852
456	123115	11584
457	123394	11315
458	123662	11046
459	123926	10776
460	124198	10507
461	124486	10239
462	124749	9969
463	125033	9700
464	125298	9431
465	125553	9160
466	125836	8892
467	126135	8624
468	126399	8354
469	126674	8085
470	126960	7817
471	127246	7548
472	127529	7279
473	127801	7010
474	128063	6740
475	128332	6470
476	128613	6201
477	128909	5933
478	129187	5663
479	129465	5394
480	129742	5124
481	130019	4855
